##x-axis,1,2,4
##second,Volt,Volt,Volt
#-6.20000E-06,,,
-4.25000E-06,+3.95374702832E+00,-24.94359768478E+00,+3.76149197E-03
-4.22500E-06,+3.95931973059E+00,-24.95052323534E+00,+3.72966978E-03
-4.20000E-06,+3.94894698917E+00,-24.96001537222E+00,+3.81923421E-03
-4.17500E-06,+3.93112316114E+00,-24.95253530273E+00,+3.78377596E-03
-4.15000E-06,+3.96966522283E+00,-24.95093792791E+00,+3.79250948E-03
-4.12500E-06,+3.96224097082E+00,-24.94745979434E+00,+3.84703898E-03
-4.10000E-06,+3.94904957875E+00,-24.94969181500E+00,+3.83656662E-03
-4.07500E-06,+3.96337412966E+00,-24.94691036344E+00,+3.85185887E-03
-4.05000E-06,+3.95392933023E+00,-24.95978045640E+00,+3.92815434E-03
-4.02500E-06,+3.97866174876E+00,-24.94822955541E+00,+3.98763607E-03
-4.00000E-06,+3.95728535129E+00,-24.94965337217E+00,+3.92463539E-03
-3.97500E-06,+3.95034174768E+00,-24.95468176925E+00,+3.90992496E-03
-3.95000E-06,+3.95015861661E+00,-24.93899313871E+00,+3.95715051E-03
-3.92500E-06,+3.95121364606E+00,-24.97235024304E+00,+3.94489832E-03
-3.90000E-06,+3.96404303484E+00,-24.94895431576E+00,+4.01222588E-03
-3.87500E-06,+3.95789813748E+00,-24.94608048835E+00,+3.88562617E-03
-3.85000E-06,+3.93992950814E+00,-24.94108714208E+00,+3.83276524E-03
-3.82500E-06,+3.94812284281E+00,-24.95471761153E+00,+3.92418267E-03
-3.80000E-06,+3.95496163319E+00,-24.94319113305E+00,+3.86712737E-03
-3.77500E-06,+3.96279183391E+00,-24.94252686362E+00,+3.78077739E-03
-3.75000E-06,+3.96084312181E+00,-24.96474832487E+00,+3.70712935E-03
-3.72500E-06,+3.97313932367E+00,-24.94104715400E+00,+3.81621987E-03
-3.70000E-06,+3.95938655327E+00,-24.95212106243E+00,+3.77351866E-03
-3.67500E-06,+3.94370738268E+00,-24.93618206356E+00,+3.50835066E-03
-3.65000E-06,+3.94320306556E+00,-24.95403174628E+00,+3.57175398E-03
-3.62500E-06,+3.94056713141E+00,-24.95342423656E+00,+3.59872037E-03
-3.60000E-06,+3.93844972314E+00,-24.96870435553E+00,+3.46010106E-03
-3.57500E-06,+3.94367052280E+00,-24.96158342496E+00,+3.43517367E-03
-3.55000E-06,+3.93527170744E+00,-24.94499153875E+00,+3.34289892E-03
-3.52500E-06,+3.95191982570E+00,-24.93215728808E+00,+3.38391926E-03
-3.50000E-06,+3.94206274580E+00,-24.93111420605E+00,+3.38232034E-03
-3.47500E-06,+3.93684541354E+00,-24.93742139245E+00,+3.16362821E-03
-3.45000E-06,+3.94023260344E+00,-24.95507203932E+00,+3.20570447E-03
-3.42500E-06,+3.95798663136E+00,-24.95471527481E+00,+3.24551694E-03
-3.40000E-06,+3.94275727953E+00,-24.95265654839E+00,+3.14440348E-03
-3.37500E-06,+3.96267179430E+00,-24.95551334035E+00,+2.97603243E-03
-3.35000E-06,+3.95527072105E+00,-24.93298260280E+00,+3.16765578E-03
-3.32500E-06,+3.95567915724E+00,-24.94528724700E+00,+3.03580536E-03
-3.30000E-06,+3.94916773391E+00,-24.95846966908E+00,+2.92323596E-03
-3.27500E-06,+3.94113872347E+00,-24.95760361250E+00,+3.17147094E-03
-3.25000E-06,+3.96027054983E+00,-24.92749914819E+00,+2.96465954E-03
-3.22500E-06,+3.95869544924E+00,-24.95968819361E+00,+2.88402304E-03
-3.20000E-06,+3.95339048995E+00,-24.94990826319E+00,+2.98004490E-03
-3.17500E-06,+3.95325315107E+00,-24.95161079044E+00,+2.74279885E-03
-3.15000E-06,+3.95652097976E+00,-24.93281673331E+00,+2.75427603E-03
-3.12500E-06,+3.95058895013E+00,-24.94596425533E+00,+2.86669196E-03
-3.10000E-06,+3.95382014507E+00,-24.95293823631E+00,+2.80556763E-03
-3.07500E-06,+3.96224628498E+00,-24.94409190124E+00,+2.67128672E-03
-3.05000E-06,+3.94476561570E+00,-24.95072592703E+00,+2.78365407E-03
-3.02500E-06,+3.94401718664E+00,-24.96735961038E+00,+2.71392289E-03
-3.00000E-06,+3.95483405577E+00,-24.94970896351E+00,+2.70633593E-03
-2.97500E-06,+3.96586507406E+00,-24.93525374468E+00,+2.64099377E-03
-2.95000E-06,+3.96078545757E+00,-24.95434324624E+00,+2.71101088E-03
-2.92500E-06,+3.94260407356E+00,-24.96525445106E+00,+2.61484719E-03
-2.90000E-06,+3.95603422574E+00,-24.94838147995E+00,+2.65843132E-03
-2.87500E-06,+3.95678137338E+00,-24.96033814120E+00,+2.72848367E-03
-2.85000E-06,+3.94827423971E+00,-24.94823630175E+00,+2.62978945E-03
-2.82500E-06,+3.97816289655E+00,-24.93762894602E+00,+2.70699045E-03
-2.80000E-06,+3.97343574802E+00,-24.94145988674E+00,+2.86772130E-03
-2.77500E-06,+3.93238955075E+00,-24.95320955975E+00,+2.77599723E-03
-2.75000E-06,+3.95095811433E+00,-24.95639251271E+00,+2.78292040E-03
-2.72500E-06,+3.96141908581E+00,-24.94473073056E+00,+2.92799036E-03
-2.70000E-06,+3.94401447303E+00,-24.94642138576E+00,+2.81658405E-03
-2.67500E-06,+3.96188526161E+00,-24.96487997270E+00,+2.92959353E-03
-2.65000E-06,+3.96229403700E+00,-24.93972769821E+00,+2.99500947E-03
-2.62500E-06,+3.93971505747E+00,-24.94392143368E+00,+2.98035498E-03
-2.60000E-06,+3.95678664984E+00,-24.94610046354E+00,+2.99264151E-03
-2.57500E-06,+3.93815480636E+00,-24.95323006259E+00,+3.08208172E-03
-2.55000E-06,+3.94665526907E+00,-24.94445665582E+00,+3.01721537E-03
-2.52500E-06,+3.93338186563E+00,-24.95083714740E+00,+3.02128320E-03
-2.50000E-06,+3.93949246596E+00,-24.95927877751E+00,+3.15351802E-03
-2.47500E-06,+3.93332303303E+00,-24.93690313038E+00,+3.09720187E-03
-2.45000E-06,+3.96433112991E+00,-24.95666854728E+00,+3.09640105E-03
-2.42500E-06,+3.93846517565E+00,-24.94443939424E+00,+3.21613107E-03
-2.40000E-06,+3.95586741402E+00,-24.94901706802E+00,+3.06351416E-03
-2.37500E-06,+3.94586477903E+00,-24.93608867011E+00,+3.15162307E-03
-2.35000E-06,+3.94145229633E+00,-24.93836169644E+00,+3.16730587E-03
-2.32500E-06,+3.91483757381E+00,-24.95434807044E+00,+3.15658539E-03
-2.30000E-06,+3.94125469267E+00,-24.94255098461E+00,+3.14407579E-03
-2.27500E-06,+3.95062264413E+00,-24.94629720036E+00,+3.16648682E-03
-2.25000E-06,+3.96432939621E+00,-24.94416633710E+00,+3.06830459E-03
-2.22500E-06,+3.95925505619E+00,-24.94841008594E+00,+3.20194419E-03
-2.20000E-06,+3.94388836548E+00,-24.94969238033E+00,+3.15514148E-03
-2.17500E-06,+3.94562590586E+00,-24.95891040478E+00,+3.05109427E-03
-2.15000E-06,+3.94596386353E+00,-24.96195586810E+00,+3.11842243E-03
-2.12500E-06,+3.96797479376E+00,-24.94623098070E+00,+3.01138045E-03
-2.10000E-06,+3.94668658866E+00,-24.94315314249E+00,+3.05502517E-03
-2.07500E-06,+3.94825694044E+00,-24.95685314823E+00,+2.92494210E-03
-2.05000E-06,+3.94839133957E+00,-24.95598581022E+00,+2.92391289E-03
-2.02500E-06,+3.96236670148E+00,-24.93331886446E+00,+2.95613823E-03
-2.00000E-06,+3.97014515514E+00,-24.95412755183E+00,+2.83134419E-03
-1.97500E-06,+3.93282305016E+00,-24.95410267706E+00,+2.72237087E-03
-1.95000E-06,+3.94634689730E+00,-24.94576397574E+00,+2.70480349E-03
-1.92500E-06,+3.94901482945E+00,-24.94396907264E+00,+2.74549102E-03
-1.90000E-06,+3.95555516028E+00,-24.94377501174E+00,+2.52108113E-03
-1.87500E-06,+3.93135619250E+00,-24.95382717014E+00,+2.43927826E-03
-1.85000E-06,+3.96599996316E+00,-24.94924463447E+00,+2.48903875E-03
-1.82500E-06,+3.96193753632E+00,-24.94759551260E+00,+2.54370647E-03
-1.80000E-06,+3.95380145130E+00,-24.94475986419E+00,+2.28151575E-03
-1.77500E-06,+3.95497045243E+00,-24.94267916505E+00,+2.30167405E-03
-1.75000E-06,+3.94230158128E+00,-24.94270939167E+00,+2.32633942E-03
-1.72500E-06,+3.95195747706E+00,-24.93466975292E+00,+2.10697564E-03
-1.70000E-06,+3.95325447018E+00,-24.93827731067E+00,+2.14133898E-03
-1.67500E-06,+3.94390871756E+00,-24.95004371762E+00,+2.21634223E-03
-1.65000E-06,+3.94152710909E+00,-24.95446324816E+00,+2.08108728E-03
-1.62500E-06,+3.96386484104E+00,-24.94445198238E+00,+2.03698829E-03
-1.60000E-06,+3.94884873383E+00,-24.93328660264E+00,+2.06704235E-03
-1.57500E-06,+3.95110755139E+00,-24.92294322098E+00,+2.13924515E-03
-1.55000E-06,+3.96033469659E+00,-24.94033912759E+00,+1.92695181E-03
-1.52500E-06,+3.95090414362E+00,-24.94482435015E+00,+2.03209782E-03
-1.50000E-06,+3.96614615896E+00,-24.93358042644E+00,+1.93475848E-03
-1.47500E-06,+3.94610546127E+00,-24.93521805315E+00,+2.02517543E-03
-1.45000E-06,+3.96091804763E+00,-24.91906629963E+00,+2.08998464E-03
-1.42500E-06,+3.94559387017E+00,-24.95254649637E+00,+1.86470265E-03
-1.40000E-06,+3.97338256877E+00,-24.95045859863E+00,+2.00067119E-03
-1.37500E-06,+3.95889863089E+00,-24.95316226000E+00,+2.12516724E-03
-1.35000E-06,+3.95389277186E+00,-24.95543969595E+00,+1.94379073E-03
-1.32500E-06,+3.96926097013E+00,-24.94685620428E+00,+1.99705974E-03
-1.30000E-06,+3.94037634946E+00,-24.94975558486E+00,+2.20879525E-03
-1.27500E-06,+3.93889403930E+00,-24.94153292811E+00,+2.20039388E-03
-1.25000E-06,+3.95924940283E+00,-24.93513234827E+00,+2.27566002E-03
-1.22500E-06,+3.95267454884E+00,-24.96191180961E+00,+2.21026648E-03
-1.20000E-06,+3.94439034588E+00,-24.95409155880E+00,+2.35071591E-03
-1.17500E-06,+3.95342422164E+00,-24.95720286488E+00,+2.53534755E-03
-1.15000E-06,+3.94271062050E+00,-24.94113010759E+00,+2.53941242E-03
-1.12500E-06,+3.94247585543E+00,-24.95206826008E+00,+2.64296919E-03
-1.10000E-06,+3.93924677108E+00,-24.95023137137E+00,+2.85010149E-03
